tree	status	source	sha256_preserved_block	sha256_file	path	title
Memory	current	PROJECT_MEMORY.md	871ada6fbd9fe208889bb3c9f39bd2fa50e728856df8ac307a65969d0d08c3fc	67ff6d523cfeeb325607cd1daba2d0c02c85d11daba7d54013bb4a0e5565018b	Companion/Memory/Current/001-proactive-notifications-deterministic-reachout.md	Proactive Notifications (Deterministic Reachout) — triggers, dedup, what v1.1.0 replaced
Memory	current	PROJECT_MEMORY.md	49ae6ac21eaf329d76bdea3c233a69b4c37574256bdf7e91b9fb5765c3a99343	e3beaff1804a64d59d4377d2a8dcb1de264d01871a039089d42e0a377e19f5e7	Companion/Memory/Current/002-caret-dead-zone-before-quote-separator.md	Caret dead-zone before tm-quote-separator (Gecko drops keystrokes)
Memory	current	PROJECT_MEMORY.md	00b2ba4a2717f7eecd0212a7bbdde27d07f9569a2a8d676eae3570070b5f1b6f	0d0de0cd86fe071b5e067f687bfe0faaa8318a0d33aa0961a201359c59fa1dea	Companion/Memory/Current/003-quote-collapse-false-positive-newsletter-links.md	Quote-collapse false positive on newsletter >> links
Memory	current	PROJECT_MEMORY.md	7be4c6ad37239a8c4bd6547f2dfe2bb157cb65bb49922f7fa60840749e447143	4ecf0fb7832ef8fd642d0211390f1283b3c1657d64e7c12fbd556b2b304984db	Companion/Memory/Current/004-quote-collapse-inline-font-boundary.md	Quote collapse swallowed the ENTIRE message on inline <font> boundaries (MailPlug/Zimbra)
Memory	current	PROJECT_MEMORY.md	e39bc6b65ebf6eb35711f1c0250b41c6f40b0ad9c245f830c5ad7c27cbccdb03	bbcb09bf08c000aeb96d75d97d161ec1a84896b314e36f297bc5abb9ecc01ea8	Companion/Memory/Current/005-byok-model-picker-recommended-plus-live.md	BYOK model picker: Recommended (catalog) + All models (from your API key) (live)
Memory	current	PROJECT_MEMORY.md	6b66f32410bdea40102bd852bfd91fae31c72c4476fe3cc7d8fb8b2d1838dbab	5941d8d4c54b2c5e6cfd58e2e517d30d8da5843892ccf87743b4e6b315ef894a	Companion/Memory/Current/006-summary-recipient-status-cc-positive-evidence.md	Summary recipient_status (cc detection, positive evidence)
Memory	current	PROJECT_MEMORY.md	74e897571f7deb16a294de5d59abbe8a96c8a2312bc8fe1c09fabf45fade0f00	b7e5f9d4d14f1a0b4ecee2eddf83d547d9ea1f64370c78c07b595dd34fc3d387	Companion/Memory/Current/007-remove-side-folder-reconcile-phase-1c.md	Remove-side folder reconcile landed (Phase 1c, ADR-021)
Memory	current	PROJECT_MEMORY.md	a6f491d9e51ee053920aa4675a53dc6c91d39a2c2534a37c6af3754c43d57cc1	7c3345ea12f899b4d9e1c4ad53a73f3584774e3c50d7ff70d9096206f3a52dca	Companion/Memory/Current/008-weekly-scan-mass-corrections-add-side-blind-spot.md	Weekly-scan mass corrections (06/29: 352 indexed) = the ADD-side Class-1 date-window blind spot at scale
Memory	current	PROJECT_MEMORY.md	c851dde0dc04ea6650bbbd5c2a061937a36cc66903186e19f6e9f9ead4657519	90555a1c6c42145ed5e7363567395570d8ce0547cf112c924ad886a826cb2aa6	Companion/Memory/Current/009-whatsapp-chatlink-linking-disabled.md	WhatsApp (ChatLink) linking disabled in Settings UI (v1.6.10)
Memory	current	PROJECT_MEMORY.md	86c24322a6e5442c6281620633ea887ccf340098922244ec0e601074fce438d0	9df93da96ee062684dc9b6e0a3da07138a7a3786dd7aee4ce593fcf79f9da7ee	Companion/Memory/Current/010-normalize-unicode-dash-rule-line-start-only.md	normalizeUnicode dash rule is now line-start-only (utils.js)
Memory	current	PROJECT_MEMORY.md	a82af8984d36d7051685db8c19ce928c4d5a606de88d1abc07a3c2598211327e	77f16f9f5d4c66525a9d528e0d4343feec3c81ebe4c744c8be740606d961a97c	Companion/Memory/Current/011-compose-autocomplete-master-toggle-shift-esc.md	Compose autocomplete: master on/off + Shift+Esc kill-switch + Settings section + banner (v1.6.8)
Memory	current	PROJECT_MEMORY.md	fd6592af9088519ea1522a0e53f44336a8194d5cef747812169101de3076f9a5	63b6541de073159e4da9febd54a823dc8a533e4e618db9559b86fe7045f5f91b	Companion/Memory/Current/012-popup-billing-usage-nudge.md	Popup billing/usage nudge (Upgrade to Pro / Set up your API keys) — ADR-019
Memory	current	PROJECT_MEMORY.md	a091756b8f1d8e7cf72315b61c1c9daa671f718fa657678d33a1998c55dd87ef	1a4870edd7bf06dfa00dda7692f4627979d8d825eda6d082e2315254b9db4449	Companion/Memory/Current/013-native-fts-install-prompt-connectnative-gotcha.md	Native FTS install prompt + connectNative availability gotcha
Memory	current	PROJECT_MEMORY.md	3ccac5a980a5117c8c27daa3ccc9fcff04774685026a7090abc1bfa8e5088f4a	125997ec46c2df69769eaa01d27ae6314149ed88ab0acf05db809e1f94a32cc4	Companion/Memory/Current/014-proactive-setup-and-server-toolbar-warnings.md	Proactive setup + server toolbar warnings (issue #12)
Memory	current	PROJECT_MEMORY.md	2f1d307b616c6e14688a57b73fecab9d7b2adb7395228003777dc6056bf2bb82	0a23acfada8ad4a74d5659232b7e4cfd16b67ca8af93445a51fbe666abc211f8	Companion/Memory/Current/015-native-fts-helper-auto-detect-no-restart.md	Native-FTS helper auto-detect: NO Thunderbird restart needed
Memory	current	PROJECT_MEMORY.md	1373ff931cc1f6c6b55dc0deafa838fc0544c66b4183f350d7c5896e9150afb3	df1b00c7b8e467c93bc787fda5c92a469182179c00d67e5927149384c313cb2b	Companion/Memory/Current/016-weekly-scan-corrections-two-gap-classes.md	Weekly-scan corrections diagnosed: two distinct gap classes (not one bug)
Memory	current	PROJECT_MEMORY.md	36f98d4a27bf4417d828cceba79bb3b383d89601ff5a3ea760e5c47b621b09ea	3723869fbe785d4c2941de89303c85a46e769fc33c058facfb9c77589458994e	Companion/Memory/Current/017-eager-module-level-promise-rejection-idbstorage.md	Flaky "Unhandled Rejection: indexedDB is not defined" in full-suite vitest runs (fixed)
Memory	current	PROJECT_MEMORY.md	484672688780f6ce1f3cc5fff51e6f6e06c2065d06cfa59e06bf506ccf288285	ad097370fbcdead4efd30edc37563c76ef4a8b75656ab09d9baf962e3e5e385f	Companion/Memory/Current/018-pmq-infinite-retry-on-deleted-message.md	PMQ processMessage path: infinite retry on a deleted message (fixed)
Memory	current	PROJECT_MEMORY.md	104f3737bd0effb8c8c86a35ff7a7c94fc5dbc14d48bf019d735559b96fe5810	76823b5971171ed994626bc5b188cb30af27c7719bd14caed11ec0bed45fb713	Companion/Memory/Current/019-byok-implemented-thunderbird.md	BYOK (bring-your-own-key) implemented
Memory	current	PROJECT_MEMORY.md	5b0a697bd7da02268e3a0700abbae30998a39b4b34d8b8f2055869e6acb33930	08ec00b0dd87e454b2e009442bc6d090953db8b28c49af7497f9c2cec8031ed4	Companion/Memory/Current/020-compose-caret-insertion-dead-zone-tab-accept.md	Compose caret insertion dead-zone (Tab-accept at end of message)
